date,merchant,amount,category,description
2025-12-19,Booking.com,359.88,Travel,Travel purchase at Booking.com
2025-12-19,Airbnb,357.78,Travel,Travel purchase at Airbnb
2025-12-19,Nobu,94.97,Dining,Dining purchase at Nobu
2025-12-20,Sweetgreen,26.81,Dining,Dining purchase at Sweetgreen
2025-12-20,Nordstrom,315.49,Shopping,Shopping purchase at Nordstrom
2025-12-20,Everlane,181.8,Shopping,Shopping purchase at Everlane
2025-12-21,Lyft,23.45,Transport,Transport purchase at Lyft
2025-12-22,Bluestone Lane,89.18,Dining,Dining purchase at Bluestone Lane
2025-12-22,Pret A Manger,176.71,Dining,Dining purchase at Pret A Manger
2025-12-22,YouTube Premium,60.55,Entertainment,Entertainment purchase at YouTube Premium
2025-12-22,Sephora,611.86,Shopping,Shopping purchase at Sephora
2025-12-22,Regal Crown Club,16.0,Entertainment,Entertainment purchase at Regal Crown Club
2025-12-23,Lyft,113.71,Transport,Transport purchase at Lyft
2025-12-24,Verizon Wireless,253.82,Bills & Utilities,Bills & Utilities purchase at Verizon Wireless
2025-12-24,Joe & The Juice,113.54,Dining,Dining purchase at Joe & The Juice
2025-12-25,YouTube Premium,11.05,Entertainment,Entertainment purchase at YouTube Premium
2025-12-25,Steam,28.03,Entertainment,Entertainment purchase at Steam
2025-12-25,Nordstrom,255.58,Shopping,Shopping purchase at Nordstrom
2025-12-26,Uber,46.11,Transport,Transport purchase at Uber
2025-12-26,Eataly,83.49,Dining,Dining purchase at Eataly
2025-12-26,Sweetgreen,19.2,Dining,Dining purchase at Sweetgreen
2025-12-29,Progressive,200.0,Bills & Utilities,Bills & Utilities purchase at Progressive
2025-12-30,Equinox,142.07,Health & Fitness,Health & Fitness purchase at Equinox
2025-12-31,Equinox,117.88,Health & Fitness,Health & Fitness purchase at Equinox
2026-01-01,Apple Music,34.18,Entertainment,Entertainment purchase at Apple Music
2026-01-02,Postmates,86.09,Dining,Dining purchase at Postmates
2026-01-02,Bluestone Lane,102.13,Dining,Dining purchase at Bluestone Lane
2026-01-03,Central Market,101.0,Groceries,Groceries purchase at Central Market
2026-01-03,Whole Foods Market,169.76,Groceries,Groceries purchase at Whole Foods Market
2026-01-04,Booking.com,622.66,Travel,Travel purchase at Booking.com
2026-01-05,Eataly,117.7,Dining,Dining purchase at Eataly
2026-01-06,Postmates,101.37,Dining,Dining purchase at Postmates
2026-01-07,Apple Store,106.24,Shopping,Shopping purchase at Apple Store
2026-01-07,Central Market,139.21,Groceries,Groceries purchase at Central Market
2026-01-07,Metra,52.42,Transport,Transport purchase at Metra
2026-01-07,Seamless,75.05,Dining,Dining purchase at Seamless
2026-01-08,Nobu,66.8,Dining,Dining purchase at Nobu
2026-01-08,Pret A Manger,49.14,Dining,Dining purchase at Pret A Manger
2026-01-09,Bird Scooter,82.34,Transport,Transport purchase at Bird Scooter
2026-01-09,Allbirds,233.66,Shopping,Shopping purchase at Allbirds
2026-01-09,Metra,44.54,Transport,Transport purchase at Metra
2026-01-10,Sweetgreen,87.74,Dining,Dining purchase at Sweetgreen
2026-01-11,Via,79.11,Transport,Transport purchase at Via
2026-01-11,Zara,293.29,Shopping,Shopping purchase at Zara
2026-01-11,Lululemon,170.96,Shopping,Shopping purchase at Lululemon
2026-01-11,Equinox,126.9,Health & Fitness,Health & Fitness purchase at Equinox
